Title;Source;Year
Uncertainty handling in goal-driven self-optimization - limiting the negative effect on adaptation;Web of science;2014
Uncertainty handling in goal-driven self-optimization – limiting the negative effect on adaptation;Sciencedirect;2014
Uncertainty modeling of self-adaptive software requirement;Scopus;2012
Uncertainty, risk, and information value in software requirements and architecture;Acmdl;2014
Uncovering requirements using serious games;Ieee;2012
Understanding operators' information needs for system design;Ieee;1992
Unified compiler framework for control and data speculation;Scopus;2000
Use case maps as architectural entities for complex systems;Scopus;1998
Use case to source code traceability: the developer navigation view point;Ieee;2009
User requirement analysis for personalized cancer dietary planning and menu construction;Engineering village;2010
Using aspects to simplify imodels;Ieee;2006
Using black-box persistent state manifest for dependency management in patching and upgrading j2ee based applications;Ieee;2005
Using complementary models-based approaches for representing and analysing atm systems' variability;Acmdl;2012
Using databases to streamline test program set development;Ieee;2000
Using execution trace data to improve distributed systems;Scopus;2002
Using goals and customizable services to improve adaptability of process-based service compositions;Ieee;2013
Using indexed data structures for program specialization;Scopus;2002
Using microcomponents and design patterns to build evolutionary transaction services;Scopus;2007
Using process models for the design of service-oriented architectures: methodology and e-commerce case study;Engineering village;2008
Using rationale for software engineering education;Ieee;2005
Using reflection as a mechanism for enforcing security policies on compiled code;Scopus;2002
Using relax, sysml and kaos for ambient systems requirements modeling;Sciencedirect;2012
Using requirements models at runtime: potential and challenges [usando modelos de requisitos em tempo de execução: potencial e desafios];Scopus;2013
Using stakeholder-driven process performance measurement for monitoring the performance of a scrum-based software development process;Scopus;2007
Utilizing rule deviations in it ecosystems for implicit requirements elicitation;Ieee;2009
Utilizing security requirements engineering methods for operational security maintenance purposes;Ieee;2008
Value models for engineering of complex sustainable;Web of science;2012
Value models for engineering of complex sustainable systems;Sciencedirect;2012
Value-based software engineering;Acmdl;2003
Visual support in automated tracing;Ieee;2007
Visualization of conceptual specifications;Sciencedirect;1994
Visualizing the analysis of dynamically adaptive systems using i* and dsls;Ieee;2007
Vote casting device with vv-sv-pat for elections with complicated ballot papers;Ieee;2011
Weaving a carpet from log entries: a network security visualization built with co-creation;Ieee;2014
Web agents for requirements consistency management;Ieee;2003
Wetting and drying responses of gas diffusion layers and proton exchange membrane to current transients;Engineering village;2009
What's the use of requirements engineering?;Ieee;1997
When to adapt? identification of problem domains for adaptive systems;Scopus;2008
When users become collaborators: towards continuous and context-aware user input;Acmdl;2009
Why context matters - and what can we do about it?;Ieee;2005
Wireless communication in process control loop: requirements analysis, industry practices and experimental evaluation;Ieee;2014
Wireless sensor networks for structural health monitoring: considerations for communication protocol design;Scopus;2010
Workflow automation for processing plasma fusion simulation data;Scopus;2007
Workflow resource requirement modeling and analysis;Scopus;2008
Wscpc: an architecture using semantic web services for collaborative product commerce;Scopus;2006
X-ray image intensifier systems;Ieee;1973
Xml-based method and tool for handling variant requirements in domain models;Ieee;2001
[title page];Ieee;2012, 2011
